;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;;ENG05510 Estatistica;;ENG05510 Estatistica;;
19h10;;ENG05510 Estatistica;;ENG05510 Estatistica;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
